instruction,texts,labels
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"Innaiku tamilan mela Kai vachavan , nalaiku tamil ponnunga mela Kai vappan , pambuku palvalkura, sathiyama saavu nitchayam",1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,அப்புறம் என்ன.புண்**க்கு பிள்ளையினு RACIST maari potruka??இந்தியன் போட வேண்டியது தான...,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,காஞ்சீபுரம் வராதராஜ பெருமாள் கோவிலே புத்த மடாலயம்..,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion., @findmydetailsifyoucan7964  adei 😂😂 ithu orey naadu da apdilam nadakathu apdi nadanthalaum thapu ila yen 300 1000 varusam mina otrumaiya va irithinga,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"ஏய்,மார்வாடி புண்ட ஓடி போய்டு. கடும் கோபத்ல இருக்கோம்",1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,உடன்பிறந்தவனுக்கு அதிகாரம் கொடுத்தால் நேர பிஜேபியின் கால்களில் விழுவதற்கா?,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Apdiaa? Sari apa uzhaikaama sambaarika youtube iruke... part time aa adhu pannalame neenga... easy aa kaasu varume... pannunga ji...,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,அண்னே சீமான் வருமுடா உங்களுக்கு,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,நாம் தமிழர் தேவிடியா மக்கா பிள்ளைப்பூச்சி தெரிந்தா பேசுறியா ஒத்த  தெக்க வாடா மோதலாம்,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"DMK and ADMK constitute people from Tamil Nadu, Yen adichukiringa? Sun TV?",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Dai.....inum 2days la hoil Hindi function da.... Pongal Diwali ku nee porila....,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,அண்னே சீமான் வருமுடா உங்களுக்கு,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,tamilnadu without vadakkans think panumodhe yevlo azhaga iruku bruh 🥺...,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,வட மாநில நபர்களுக்கு ஓட்டு உரிமையை கொடுக்க கூடாது,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Citizensunu sonninga paru correct.we are tamil speaking people citizen of india.aprom ellarum indian dhaana unga pillai samugam yen brahmins athuvum iyer iyengar street dogs maari treat pandraan.?indians,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion., @TheTopDawg97  idiot don't inflammatory speech against to anyone. Chennai en chippa irrutha veetula kadhva odachu avunga adichupotu thiruditu poitangada idot,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,உதயநிதி எல்லாம் தமிழருக்கு தலைவன் ஆவான் என்றால் தமிழனுடைய  மானம் எங்கே போனது வீரம் எங்கே போனது வருவான் கரிகாலன் கரு அறுப்பான் அன்று புரியும் தழிழர் என்ற இனம் பற்றி,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,சென்னை ஐடி ஃபீல்டு ல டாப் பொசிஷன் இருக்கற எல்லாரும் North தான்...,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,அதான் புதிய கல்வி கொள்கை கொண்டு வந்தா தமிழக அரசு எதிர்க்குதே நண்பா .... .. முதல்ல அதை முழுவதுமாக படித்து ஒரு வீடியோ போடுங்க பாக்கலாம்...,0
